model,status,dataset,seq_len,horizon,normalize,cnn_variant,rnn_type,attn_variant,pos,ca,direction,heads,wav_on,wavelet_on,wavelet_base,wavelet_level,wavelet_mode,wavelet_take,arch,params,checkpoint,mse,mae,rmse,mape,r2,rev_on,dec_on
ctrl_revin-on__standard-standard-lstm-posnone-caoff_patched__d04c8f72,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,standard+lstm+standard,1072839,./getmodel/bestmodel/ctrl_revin-on__standard-standard-lstm-posnone-caoff_patched__d04c8f72.pt,0.17483395338058472,0.2876662611961365,0.4181315024972224,2.597883939743042,0.8249136805534363,True,False
ctrl_ca-se__dilated-standard-lstm-posnone-case_patched__496b7a48,ok,electricity_removed,64,3,standard,dilated,lstm,standard,none,se,bi,4,False,False,db4,3,symmetric,all,dilated+lstm+standard,1074706,./getmodel/bestmodel/ctrl_ca-se__dilated-standard-lstm-posnone-case_patched__496b7a48.pt,0.17594870924949646,0.2885315418243408,0.4194624050490061,2.6016926765441895,0.823797345161438,False,False
ctrl_ca-off__inception-standard-lstm-posnone-caoff_patched__6f03e296,ok,electricity_removed,64,3,standard,inception,lstm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,inception+lstm+standard,1077309,./getmodel/bestmodel/ctrl_ca-off__inception-standard-lstm-posnone-caoff_patched__6f03e296.pt,0.17761613428592682,0.29164570569992065,0.4214452921624903,2.5780556201934814,0.8221274614334106,False,False
ctrl_attn-spatiotemporal__standard-spatiotemporal-lstm-posnone-caoff_patched__750c6d36,ok,electricity_removed,64,3,standard,standard,lstm,spatiotemporal,none,off,bi,4,False,False,db4,3,symmetric,all,standard+lstm+spatiotemporal,1072197,./getmodel/bestmodel/ctrl_attn-spatiotemporal__standard-spatiotemporal-lstm-posnone-caoff_patched__750c6d36.pt,0.1824178248643875,0.29670003056526184,0.42710399771529595,2.5633864402770996,0.817318856716156,False,False
ctrl_cnn-tcn__tcn-standard-lstm-posnone-caoff_patched__b38788de,ok,electricity_removed,64,3,standard,tcn,lstm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,tcn+lstm+standard,1605705,./getmodel/bestmodel/ctrl_cnn-tcn__tcn-standard-lstm-posnone-caoff_patched__b38788de.pt,0.18280546367168427,0.29748231172561646,0.42755755597543155,2.756178855895996,0.8169306516647339,False,False
ctrl_wavelet-db4-L2-periodization-all__standard-standard-lstm-posnone-caoff_patc__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,db4,2,periodization,all,standard+lstm+standard,1423371,./getmodel/bestmodel/ctrl_wavelet-db4-L2-periodization-all__standard-standard-lstm-posnone-caoff_patc__539bf738.pt,0.1856950968503952,0.24483118951320648,0.4309235394480037,10072.8818359375,0.8269118666648865,False,False
ctrl_wavelet-coif5-L2-symmetric-all__standard-standard-lstm-posnone-caoff_patche__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,coif5,2,symmetric,all,standard+lstm+standard,1423371,./getmodel/bestmodel/ctrl_wavelet-coif5-L2-symmetric-all__standard-standard-lstm-posnone-caoff_patche__539bf738.pt,0.19151198863983154,0.24739673733711243,0.43762082747491754,8653.8525390625,0.8219360113143921,False,False
ctrl_wavelet-db4-L2-symmetric-all__standard-standard-lstm-posnone-caoff_patched__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,db4,2,symmetric,all,standard+lstm+standard,1423371,./getmodel/bestmodel/ctrl_wavelet-db4-L2-symmetric-all__standard-standard-lstm-posnone-caoff_patched__539bf738.pt,0.19360102713108063,0.2529236674308777,0.4400011671928617,12129.248046875,0.8194681406021118,False,False
ctrl_decomp-on__standard-standard-lstm-posnone-caoff_patched__b071e196,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,False,False,db4,3,symmetric,all,standard+lstm+standard,1319522,./getmodel/bestmodel/ctrl_decomp-on__standard-standard-lstm-posnone-caoff_patched__b071e196.pt,0.2015434354543686,0.3129623830318451,0.4489358923659018,2.814990758895874,0.7981656789779663,False,True
ctrl_wavelet-db4-L3-periodization-all__standard-standard-lstm-posnone-caoff_patc__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,db4,3,periodization,all,standard+lstm+standard,1598958,./getmodel/bestmodel/ctrl_wavelet-db4-L3-periodization-all__standard-standard-lstm-posnone-caoff_patc__539bf738.pt,0.22565442323684692,0.26779666543006897,0.47503097081858453,11850.9365234375,0.814315140247345,False,False
ctrl_wavelet-coif5-L3-periodization-all__standard-standard-lstm-posnone-caoff_pa__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,coif5,3,periodization,all,standard+lstm+standard,1598958,./getmodel/bestmodel/ctrl_wavelet-coif5-L3-periodization-all__standard-standard-lstm-posnone-caoff_pa__539bf738.pt,0.23292918503284454,0.2684077322483063,0.4826273770030504,5272.77978515625,0.8103146553039551,False,False
ctrl_wavelet-haar-L3-periodization-all__standard-standard-lstm-posnone-caoff_pat__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,haar,3,periodization,all,standard+lstm+standard,1598958,./getmodel/bestmodel/ctrl_wavelet-haar-L3-periodization-all__standard-standard-lstm-posnone-caoff_pat__539bf738.pt,0.2480597198009491,0.289444237947464,0.49805594043335044,58150.1875,0.7908172011375427,False,False
ctrl_wavelet-haar-L3-symmetric-all__standard-standard-lstm-posnone-caoff_patched__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,haar,3,symmetric,all,standard+lstm+standard,1598958,./getmodel/bestmodel/ctrl_wavelet-haar-L3-symmetric-all__standard-standard-lstm-posnone-caoff_patched__539bf738.pt,0.24816609919071198,0.2890867590904236,0.49816272360616465,58578.98828125,0.7907274961471558,False,False
ctrl_wavelet-db4-L3-symmetric-all__standard-standard-lstm-posnone-caoff_patched__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,db4,3,symmetric,all,standard+lstm+standard,1598958,./getmodel/bestmodel/ctrl_wavelet-db4-L3-symmetric-all__standard-standard-lstm-posnone-caoff_patched__539bf738.pt,0.25814464688301086,0.2966819703578949,0.5080793706528645,19314.041015625,0.7871253490447998,False,False
ctrl_wavelet-on__standard-standard-lstm-posnone-caoff_patched__539bf738,ok,electricity_removed,64,3,standard,standard,lstm,standard,none,off,bi,4,True,True,db4,3,symmetric,all,standard+lstm+standard,1598958,./getmodel/bestmodel/ctrl_wavelet-on__standard-standard-lstm-posnone-caoff_patched__539bf738.pt,0.2628370225429535,0.2997927963733673,0.5126763331215451,19188.103515625,0.7832558751106262,False,False
